,carbs,category,description,fat,fiber,kcal,monounsat.,polyunsat.,price,price_per_kg,protein,qty,salt,saturated,sugars,€/g carb,€/g fat,€/g protein,€/kcal
5382581,29.0,Surgelati e gelati,"Cameo, Big Americans Supreme pizza surgelata 450 g",6.8,,220,,,3.75,8.25,9.5,455 g,1.0,3.7,3.2,0.028448275862068963,0.1213235294117647,0.08684210526315789,0.00375
5540399,31.0,Surgelati e gelati,"SchÃ¤r, BontÃ  d'Italia pizza Margherita Lactose free senza glutine surgelata 350 g",8.8,4.0,236,,,3.99,11.4,6.7,350 g,1.1,4.4,1.9,0.0367741935483871,0.12954545454545455,0.1701492537313433,0.004830508474576271
5524773,13.2,Surgelati e gelati,"Kioene, burger ai ceci surgelati 150 g",11.8,5.2,223,,,1.99,13.27,14.5,150 g,1.28,1.2,0.6,0.10053030303030304,0.11245762711864406,0.09151724137931035,0.00595067264573991
5599510,6.0,Surgelati e gelati,"Orogel, La Cucina Italiana Tris Grigliato gusto ricco surgelato 400 g",6.0,3.5,90,,,3.98,9.95,1.3,400 g,0.45,0.6,4.0,0.1658333333333333,0.1658333333333333,0.7653846153846152,0.011055555555555555
5599496,13.0,Surgelati e gelati,"Come una volta, contorno di patate carote zucchine e olive surgelato 450 g",2.0,2.9,84,,,2.49,5.54,2.0,450 g,0.6,0.0,2.7,0.04261538461538462,0.277,0.277,0.006595238095238096
5412988,22.0,Surgelati e gelati,"Pizzoli, Fiammiferi croccantixximi surgelati 600 g",4.6,2.6,145,,,1.99,3.32,0.13,600 g,,0.4,0.4,0.015090909090909089,0.07217391304347825,2.5538461538461537,0.0022896551724137927
5410403,0.0,Surgelati e gelati,"Iberia, seppie pulite congelate 400 g",0.5,,36,,,5.49,13.73,8.1,400 g,1.3,0.1,0.0,0.0,2.746,0.16950617283950617,0.03813888888888889
5394181,25.5,Surgelati e gelati,"McCain, Kid Smile surgelati 600 g",8.5,3.0,195,3.4,4.2,2.39,3.99,2.5,600 g,0.5,0.9,0.5,0.015647058823529413,0.046941176470588236,0.15960000000000002,0.0020461538461538464
5640149,48.0,Surgelati e gelati,"Ringo, gelato snack gusto vaniglia conf. 4x70 g",10.0,,310,,,2.99,10.68,5.2,280 g,0.27,7.0,27.0,0.022250000000000002,0.1068,0.2053846153846154,0.003445161290322581
5582816,18.5,Surgelati e gelati,"White Lab, olive all'ascolana impanate e surgelate 250 g",15.0,3.1,254,,,2.39,9.56,9.7,250 g,1.52,3.6,1.5,0.05167567567567568,0.06373333333333334,0.09855670103092785,0.0037637795275590556
5423226,15.0,Surgelati e gelati,"Zanini, farinata di ceci surgelata 320 g",7.9,,153,,,3.93,12.29,6.5,320 g,1.8,1.3,3.1,0.08193333333333333,0.15556962025316454,0.18907692307692306,0.00803267973856209
5731846,26.0,Surgelati e gelati,"Italpizza, 26x38 cm pizza Salamino e Provolone surgelata 510 g",12.0,1.8,262,,,4.99,9.79,11.8,510 g,1.8,4.0,2.5,0.03765384615384615,0.08158333333333333,0.08296610169491524,0.003736641221374045
5741615,34.0,Surgelati e gelati,"Buitoni, Forno di Pietra pizza Margherita senza glutine e senza lattosio surgelata 360 g",7.4,2.0,233,,,3.99,11.09,6.5,360 g,1.2,3.8,2.9,0.03261764705882353,0.14986486486486486,0.1706153846153846,0.004759656652360515
5401619,4.0,Surgelati e gelati,"Come una volta, zucchine grigliate surgelate 450 g",0.0,1.4,28,,,2.19,4.87,2.3,450 g,0.0,0.0,3.7,0.12175,0.0,0.21173913043478262,0.017392857142857144
5730184,40.0,Surgelati e gelati,"Maxibon, 6 pezzi 570 g",14.0,2.6,305,,,4.98,8.74,3.9,570 g,0.17,10.0,23.0,0.02185,0.06242857142857143,0.2241025641025641,0.0028655737704918033
5599497,12.0,Surgelati e gelati,"Come una volta, zuppa alla toscana surgelata 600 g",1.1,3.0,79,,,2.49,4.16,3.8,600 g,0.75,0.1,1.1,0.03466666666666667,0.3781818181818182,0.10947368421052633,0.005265822784810127
5419335,27.6,Surgelati e gelati,"Pizzoli, Pata Snella FrisÃ© surgelata 600 g",9.7,,216,,,2.33,2.66,2.8,600 g,0.75,0.9,0.05,0.00963768115942029,0.02742268041237114,0.09500000000000001,0.0012314814814814816
5411695,14.0,Surgelati e gelati,"Aia, Snack Nagghy surgelato 300 g",8.1,,197,,,2.93,9.77,17.0,300 g,1.5,1.3,0.5,0.06978571428571428,0.12061728395061729,0.057470588235294114,0.0049593908629441625
5427487,26.0,Surgelati e gelati,"Sammontana, Barattolino panna 500 g",11.0,,221,,,2.89,5.78,3.6,500 g,0.21,7.5,25.0,0.022230769230769235,0.052545454545454555,0.16055555555555556,0.0026153846153846158
5377479,0.5,Surgelati e gelati,"Iberia, misto per risotto e spaghetti congelato 300 g",0.5,,55,,,3.79,12.64,13.0,300 g,0.38,0.2,0.5,2.528,2.528,0.09723076923076923,0.022981818181818183
5390902,21.0,Surgelati e gelati,"Pizzoli, Pata Snella fette surgelate 600 g",4.5,2.9,140,,,1.95,3.26,2.4,600 g,0.43,0.4,0.0,0.015523809523809521,0.07244444444444444,0.13583333333333333,0.002328571428571428
5544293,23.0,Surgelati e gelati,"Findus, Capitan 4 Croccole surgelate 400 g",7.8,1.0,208,,,5.48,6.85,11.0,400 g,1.0,0.6,0.8,0.02978260869565217,0.08782051282051281,0.062272727272727264,0.0032932692307692307
5540591,6.0,Surgelati e gelati,"Orogel, Il Benessere soia edamame surgelata 300 g",5.0,6.5,130,,,2.52,8.41,12.0,300 g,0.0,0.6,3.5,0.14016666666666666,0.1682,0.07008333333333333,0.006469230769230769
5746981,24.0,Surgelati e gelati,"Findus, Sofficini spinaci piÃ¹ mozzarella surgelati 4 pezzi 266 g",19.0,1.4,309,,,2.57,9.67,9.8,266 g,0.89,5.0,2.3,0.04029166666666666,0.05089473684210526,0.09867346938775509,0.0031294498381877023
5403077,,Surgelati e gelati,"Fribo, polpo eviscerato congelato",,,,,,17.85,17.85,,1 kg,,,,0.0,0.0,0.0,0.0
5741592,23.0,Surgelati e gelati,"Findus, Capitan nuggets di merluzzo d'Alaska surgelati 245 g",11.0,0.7,231,,,4.57,18.66,9.6,245 g,1.4,0.8,0.8,0.0811304347826087,0.16963636363636364,0.19437500000000002,0.008077922077922078
5392411,0.09,Surgelati e gelati,"Blu Mares, seppie orientali congelate peso netto 1 kg peso al netto della glassatura 800 g",1.24,,0,,,6.95,8.69,13.8,800 g,0.65,0.2,0.0,9.655555555555555,0.7008064516129032,0.06297101449275362,0.0
5725796,0.0,Surgelati e gelati,"PanaPesca, code di gamberi argentini surgelate peso netto 300 g",0.7,,71,,,7.49,24.97,16.2,300 g,0.6,0.2,0.0,0.0,3.567142857142857,0.1541358024691358,0.03516901408450704
5522695,32.0,Surgelati e gelati,"Cameo, Pizza Tradizionale Margherita surgelata 345 g",6.8,,232,,,3.69,10.7,10.0,345 g,1.2,3.1,4.9,0.033437499999999995,0.15735294117647056,0.10699999999999998,0.00461206896551724
5750027,26.0,Surgelati e gelati,"Roncadin, Extra Voglia capricciosa surgelata 400 g",7.6,2.2,213,,,3.46,8.65,9.2,400 g,1.7,3.3,3.0,0.033269230769230766,0.11381578947368422,0.0940217391304348,0.004061032863849765
5746770,29.0,Surgelati e gelati,"Coppa del Nonno, Chicchi al caffÃ¨ 50 pezzi 229 g",26.0,1.6,367,,,2.86,12.49,3.3,229 g,0.12,20.0,24.0,0.04306896551724138,0.048038461538461544,0.37848484848484854,0.0034032697547683927
5384079,1.0,Surgelati e gelati,"I&J, cuori di filetto di merluzzo sudafricano porzionati surgelati 400 g",0.7,,77,,0.3,4.79,11.98,17.8,400 g,0.4,0.2,0.3,1.198,1.7114285714285715,0.06730337078651685,0.015558441558441558
5731069,47.0,Surgelati e gelati,"Cucciolone, l'Originale classico 6 pezzi 480 g",7.8,,280,,,4.19,8.73,4.6,480 g,0.13,6.7,23.0,0.018574468085106384,0.11192307692307693,0.1897826086956522,0.0031178571428571427
5746982,25.0,Surgelati e gelati,"Findus, Sofficini funghi piÃ¹ mozzarella surgelati 4 pezzi 266 g",17.0,1.7,291,,,2.57,9.67,8.7,266 g,0.79,3.5,2.7,0.03868,0.05688235294117647,0.11114942528735633,0.0033230240549828177
5742560,24.0,Surgelati e gelati,"Cameo, Ristorante pizza ai Quattro Formaggi surgelata 340 g",14.0,,265,,,3.19,9.39,11.0,340 g,1.1,6.2,2.9,0.039125,0.06707142857142857,0.08536363636363636,0.0035433962264150944
5686477,28.0,Surgelati e gelati,"Mare, BontÃ  d'Amare anelli di totano croccanti surgelati 450 g",14.7,1.4,290,,,3.79,8.43,10.7,450 g,1.31,1.8,2.5,0.030107142857142857,0.057346938775510205,0.07878504672897196,0.0029068965517241377
5406023,7.5,Surgelati e gelati,"Bocon, melanzane alla parmigiana surgelate 400 g",6.5,,113,,,2.99,7.48,5.2,400 g,0.7,2.0,5.0,0.09973333333333333,0.11507692307692308,0.14384615384615385,0.006619469026548672
5760668,27.0,Surgelati e gelati,"Findus, Capitan filetti di platessa impanati surgelati 250 g",10.0,1.5,249,,,4.99,19.96,12.0,250 g,0.71,1.2,1.4,0.07392592592592592,0.1996,0.16633333333333333,0.008016064257028112
5390404,24.2,Surgelati e gelati,"White Lab, mozzarelline impanate e surgelate 250 g",11.1,1.3,252,,,2.59,10.36,13.1,250 g,1.07,6.7,3.1,0.0428099173553719,0.09333333333333334,0.07908396946564886,0.004111111111111111
5686683,19.0,Surgelati e gelati,"Mare, BontÃ  d'Amare fritto misto di pesce surgelato 450 g",13.0,1.3,233,,,4.98,11.07,9.3,450 g,2.0,1.2,1.0,0.05826315789473684,0.08515384615384615,0.11903225806451612,0.004751072961373391
5746721,27.0,Surgelati e gelati,"Sammontana, Le Delizie pistacchio 500 g",15.0,,261,,,3.39,3.38,3.7,500 g,0.19,9.3,26.0,0.012518518518518517,0.022533333333333332,0.09135135135135133,0.0012950191570881226
5730183,41.0,Surgelati e gelati,"Tre Marie, cornetto semplice senza farcitura congelato conf. 6x55 g",26.0,,430,,,3.05,9.25,8.0,330 g,0.84,13.0,10.0,0.0225609756097561,0.035576923076923075,0.115625,0.0021511627906976747
5533540,37.0,Surgelati e gelati,"Sammontana, Coppa Oro amarena 4 pezzi 360 g",8.4,,236,,,2.99,8.31,2.6,360 g,0.17,7.2,33.0,0.02245945945945946,0.09892857142857144,0.31961538461538463,0.0035211864406779663
5427935,33.0,Surgelati e gelati,"Magnum, White 4 pezzi 316 g",18.0,,303,,,3.49,11.05,3.5,316 g,0.15,12.0,30.0,0.033484848484848485,0.06138888888888889,0.3157142857142857,0.0036468646864686468
5742564,26.0,Surgelati e gelati,"Cameo, Ristorante pizza Margherita Saporita surgelata 330 g",11.0,,246,,,3.19,9.67,9.8,330 g,1.2,3.9,4.3,0.03719230769230769,0.08790909090909091,0.09867346938775509,0.00393089430894309
